Rank,Name,Platform,Year,Genre,Publisher,NA_Sales_M,EU_Sales_M,JP_Sales_M,Other_Sales_M,Global_Sales_M,Regional_Sum,Sales_Diff,log_Global_Sales_M,log_NA_Sales_M,log_EU_Sales_M,log_JP_Sales_M,Era,Publisher_Strength
16274,The Humans: Meet the Ancestors!,DS,2009,Puzzle,Deep Silver,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.009950330853168083,0.0,0.0,Shooter Boom,0.00287766074319204
16275,Chaos;Head Noah,PSV,2014,Adventure,5pb,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Post-Peak,0.0001827264125984817
16276,Battlestations: Midway,PC,2007,Strategy,Eidos Interactive,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.009950330853168083,0.0,Shooter Boom,0.011095865226378968
16277,Farming Simulator 15 Expansion Pack,PC,2015,Action,Focus Home Interactive,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.009950330853168083,0.0,Post-Peak,0.0008418867230764401
16278,Jan Sangoku Musou,PS2,2006,Misc,Tecmo Koei,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Shooter Boom,0.006003067113281407
16279,Assetto Corsa,XOne,2016,Racing,505 Games,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.009950330853168083,0.0,Post-Peak,0.0062676280542215395
16280,Kono Aozora ni Yakusoku o: Melody of the Sun and Sea,PS2,2007,Adventure,Alchemist,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Shooter Boom,0.00029482850621718207
16281,Monster Bomber,DS,2006,Puzzle,505 Games,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.009950330853168083,0.0,0.0,Shooter Boom,0.0062676280542215395
16282,Rakushou! Pachi-Slot Sengen 6: Rio 2 Cruising Vanadis,PS2,2009,Misc,Tecmo Koei,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Shooter Boom,0.006003067113281407
16283,Fatal Fury: Battle Archives Volume 1 (JP sales),PS2,2006,Fighting,Ignition Entertainment,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Shooter Boom,0.0007645362784795369
16284,CT Special Forces 2: Back in the Trenches,GBA,2003,Shooter,LSP Games,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.009950330853168083,0.0,0.0,Transition,1.3452251234244049e-05
16285,Kamaitachi no Yoru 2: Tokubetsu Hen,PSP,2006,Adventure,ChunSoft,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Shooter Boom,0.0004562555210281107
16286,The Chronicles of Riddick: Assault on Dark Athena,PC,2009,Shooter,Vivendi Games,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.009950330853168083,0.0,Shooter Boom,0.006525462869544551
16287,The Ultimate Battle of the Sexes,Wii,2010,Misc,DTP Entertainment,0.01,0.01,0.0,0.0,0.01,0.02,-0.01,0.009950330853168083,0.009950330853168083,0.009950330853168083,0.0,Shooter Boom,0.0004024465160911345
16288,Root Double: Before Crime After Days,X360,2012,Action,Yeti,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Post-Peak,2.6904502468488097e-05
16289,War for the Overworld,PC,2015,Strategy,Unknown,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.009950330853168083,0.0,Post-Peak,0.005553537717870418
16290,TimeShift,PC,2007,Shooter,Vivendi Games,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.009950330853168083,0.0,0.0,Shooter Boom,0.006525462869544551
16291,ef - a fairy tale of the two.,PS2,2010,Adventure,Comfort,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Shooter Boom,1.681531404280506e-05
16292,The Train Giant,PC,2012,Strategy,Ascaron Entertainment,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.009950330853168083,0.0,Post-Peak,1.1210209361870042e-06
16293,Sangoku Koi Senki: Omoide Gaeshi - CS Edition,PSV,2016,Adventure,Prototype,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Post-Peak,6.838227710740725e-05
16294,FairlyLife: MiracleDays,PSP,2010,Adventure,Piacci,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Shooter Boom,1.1210209361870042e-06
16295,Surf's Up,GC,2007,Sports,Ubisoft,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.009950330853168083,0.0,0.0,Shooter Boom,0.053217105882669466
16296,Jambo! Safari Animal Rescue,DS,2009,Simulation,Sega,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.009950330853168083,0.0,0.0,Shooter Boom,0.030602750536969026
16297,Death Connection Portable,PSP,2011,Adventure,Idea Factory,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Shooter Boom,0.00045065041634717573
16298,Rainbow Islands: Revolution,PSP,2005,Action,Rising Star Games,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.009950330853168083,0.0,0.0,Shooter Boom,0.0019404872405397041
16299,Legend of Kay Anniversary,WiiU,2015,Action,Nordic Games,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.009950330853168083,0.0,Post-Peak,0.0004977332956670299
16300,Rakushou! Pachi-Slot Sengen 4,PS2,2006,Misc,Tecmo Koei,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Shooter Boom,0.006003067113281407
16301,Nitroplus Blasterz: Heroines Infinite Duel,PS3,2015,Fighting,Nitroplus,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Post-Peak,2.2420418723740084e-06
16302,Moe Moe 2-Ji Daisenryaku 2,PSP,2010,Strategy,System Soft,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Shooter Boom,5.605104680935021e-06
16303,Tsuyo Kiss 3 Portable,PSP,2012,Action,NetRevo,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Post-Peak,3.363062808561012e-06
16304,Fireman Sam: Action Stations,DS,2013,Action,Avanquest Software,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.009950330853168083,0.0,Post-Peak,0.0001894525382156037
16305,Tetris Ultimate,PSV,2014,Puzzle,Ubisoft,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.009950330853168083,0.0,Post-Peak,0.053217105882669466
16306,Durarara!! Relay,PSV,2015,Action,Kadokawa Games,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Post-Peak,6.501921429884624e-05
16307,Moto Racer Advance,GBA,2002,Racing,Ubisoft,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.009950330853168083,0.0,0.0,Transition,0.053217105882669466
16308,Duel Masters: Shadow of the Code,GBA,2004,Misc,Atari,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.009950330853168083,0.0,0.0,Transition,0.01762469115873208
16309,Full Auto 2: Battlelines,PSP,2007,Racing,Sega,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.009950330853168083,0.0,Shooter Boom,0.030602750536969026
16310,Freaky Flyers,GC,2007,Racing,Unknown,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.009950330853168083,0.0,0.0,Shooter Boom,0.005553537717870418
16311,Army Men: Air Combat - The Elite Missions,GC,2003,Shooter,3DO,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.009950330853168083,0.0,0.0,Transition,0.0011344731874212482
16312,Rally Championship,GC,2003,Racing,SCi,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.009950330853168083,0.0,0.0,Transition,0.00039459936953782545
16313,Happy Dance Collection,Wii,2008,Misc,Namco Bandai Games,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Shooter Boom,0.028484020967575588
16314,Space Hulk,PSV,2015,Strategy,Funbox Media,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.009950330853168083,0.0,Post-Peak,0.00010201290519301738
16315,Fuun Shinsengumi Bakumatsuden Portable,PSP,2009,Action,From Software,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.009950330853168083,0.0,0.0,Shooter Boom,0.0001827264125984817
16316,Musou Tourou,PSP,2009,Strategy,Nippon Ichi Software,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Shooter Boom,0.001600817896875042
16317,Really? Really! DS,DS,2009,Adventure,Kadokawa Shoten,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Shooter Boom,0.00042262489294250056
16318,Gakuen Hetalia,DS,2012,Adventure,Idea Factory,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Post-Peak,0.00045065041634717573
16319,Daiya no Kuni no Alice: Wonderful Mirror World,PSP,2013,Adventure,Quinrose,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Post-Peak,2.466246059611409e-05
16320,Touch Detective 3: Does Funghi Dream of Bananas?,3DS,2014,Adventure,Success,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Post-Peak,0.0002197201034926528
16321,Dungeon Explorer: Warriors of Ancient Arts,PSP,2007,Role-Playing,Rising Star Games,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.009950330853168083,0.0,0.0,Shooter Boom,0.0019404872405397041
16322,Period Cube: Torikago no Amadeus,PSV,2016,Action,Idea Factory,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Post-Peak,0.00045065041634717573
16323,Tringo,GBA,2006,Puzzle,Liquid Games,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.009950330853168083,0.0,0.0,Shooter Boom,3.0267565277049114e-05
16324,Jam Sessions: Sing and Play Guitar (jp sales),DS,2007,Misc,Ubisoft,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Shooter Boom,0.053217105882669466
16325,Binary Star,PSV,2014,Adventure,Idea Factory,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Post-Peak,0.00045065041634717573
16326,MXGP 2,PC,2016,Racing,Milestone S.r.l.,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.009950330853168083,0.0,Post-Peak,0.00014349067983193654
16327,Professional Farmer 2016,PSV,2015,Action,Namco Bandai Games,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.009950330853168083,0.0,Post-Peak,0.028484020967575588
16328,RalliSport Challenge(JP sales),XB,2002,Racing,Microsoft Game Studios,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Transition,0.027553573590540375
16329,Dragon Quest X: All in One Package,WiiU,2015,Role-Playing,Square Enix,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Post-Peak,0.016274981951562927
16330,Inversion,PC,2007,Shooter,Namco Bandai Games,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.009950330853168083,0.0,0.0,Shooter Boom,0.028484020967575588
16331,Wedding Planner: Dream Weddings Guaranteed,DS,2010,Simulation,DTP Entertainment,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.009950330853168083,0.0,Shooter Boom,0.0004024465160911345
16332,Element Hunter,DS,2009,Role-Playing,Namco Bandai Games,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Shooter Boom,0.028484020967575588
16333,Ultraman Fighting Evolution 3,PS2,2004,Fighting,Banpresto,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Transition,0.0019505764289653872
16334,Rondo of Swords (jp sales),DS,2007,Role-Playing,Success,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Shooter Boom,0.0002197201034926528
16335,The Eye of Judgment: Legends,PSP,2010,Strategy,Sony Computer Entertainment,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Shooter Boom,0.06810202187336051
16336,Chaos;Child,PS4,2015,Adventure,5pb,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Post-Peak,0.0001827264125984817
16337,Greg Hastings' Tournament Paintball Max'd,PS2,2006,Shooter,Activision,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.009950330853168083,0.0,0.0,Shooter Boom,0.08154978902385981
16338,Whac-A-Mole,GBA,2005,Puzzle,Zoo Digital Publishing,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.009950330853168083,0.0,0.0,Shooter Boom,0.0014427539448726742
16339,Nakayoshi All-Stars: Mezase Gakuen Idol,DS,2008,Misc,Creative Core,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Shooter Boom,1.121020936187004e-05
16340,Shinseiki Evangelion: Koutetsu no Girlfriend Tokubetsu-Hen Portable,PSP,2009,Adventure,CyberFront,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Shooter Boom,3.0267565277049114e-05
16341,Fullmetal Alchemist: Prince of the Dawn,Wii,2009,Adventure,Square Enix,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Shooter Boom,0.016274981951562927
16342,Command & Conquer Renegade,PC,2002,Shooter,Electronic Arts,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.009950330853168083,0.0,Transition,0.12446919658671544
16343,Grooverider: Slot Car Thunder,GC,2003,Racing,Encore,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.009950330853168083,0.0,0.0,Transition,7.84714655330903e-06
16344,H2O+: Footprints in the Sand,PS2,2008,Adventure,Kadokawa Shoten,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Shooter Boom,0.00042262489294250056
16345,Fashionable Puppy: Oshare na Koinu DS,DS,2007,Simulation,MTO,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Shooter Boom,4.484083744748017e-05
16346,Sekirei: Mirai Kara no Okurimono,PS2,2009,Adventure,Alchemist,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Shooter Boom,0.00029482850621718207
16347,Cities: Skylines Snowfall,PC,2016,Simulation,Paradox Development,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.009950330853168083,0.0,Post-Peak,1.1210209361870042e-06
16348,Ultimate Board Game Collection,PS2,2006,Misc,Xplosiv,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.009950330853168083,0.0,0.0,Shooter Boom,0.0001838474335346687
16349,Dinotopia: The Sunstone Odyssey,XB,2003,Action,TDK Mediactive,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.009950330853168083,0.0,0.0,Transition,0.0009315683979714005
16350,Idol Janshi Suchie-Pai IV,PS2,2007,Misc,Jaleco,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Shooter Boom,0.0002174780616202788
16351,Dungeons & Dragons: Neverwinter Nights - Complete,PC,2011,Misc,Atari,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.009950330853168083,0.0,0.0,Shooter Boom,0.01762469115873208
16352,Natsuzora no Monologue,PSP,2013,Adventure,Otomate,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Post-Peak,1.1210209361870042e-06
16353,Kenka Banchou Portable,PSP,2009,Action,Spike,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Shooter Boom,0.0006894278757550076
16354,World Snooker Challenge 2005,PSP,2005,Sports,Sega,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.009950330853168083,0.0,Shooter Boom,0.030602750536969026
16355,Juiced 2: Hot Import Nights,PC,2007,Racing,THQ,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.009950330853168083,0.0,Shooter Boom,0.038201030442444536
16356,G1 Jockey 4 2008,PS3,2008,Sports,Tecmo Koei,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.009950330853168083,0.0,Shooter Boom,0.006003067113281407
16357,Monster Jam,PC,2007,Racing,Activision,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.009950330853168083,0.0,0.0,Shooter Boom,0.08154978902385981
16358,Icewind Dale II,PC,2002,Role-Playing,Interplay,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.009950330853168083,0.0,Transition,0.0007465999435005448
16359,The Amazing Spider-Man (DS & Mobile Versions),PSP,2009,Action,Eidos Interactive,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.009950330853168083,0.0,Shooter Boom,0.011095865226378968
16360,Mario vs. Donkey Kong: Tipping Stars,WiiU,2015,Puzzle,Nintendo,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Post-Peak,0.20027711637542542
16361,Ishin Renka: Ryouma Gaiden,PSP,2010,Adventure,D3Publisher,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Shooter Boom,0.0027050235190192408
16362,NHL 2K7,XB,2006,Sports,Take-Two Interactive,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.009950330853168083,0.0,0.0,Shooter Boom,0.04478927048441557
16363,Shirahana no Ori: Hiiro no Kakera 4 - Shiki no Uta,PSP,2013,Adventure,Idea Factory,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Post-Peak,0.00045065041634717573
16364,Act of Aggression,PC,2015,Strategy,Focus Home Interactive,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.009950330853168083,0.0,Post-Peak,0.0008418867230764401
16365,Powerdrome,XB,2004,Racing,Evolved Games,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.009950330853168083,0.0,0.0,Transition,3.5872669957984134e-05
16366,Fallout Anthology,PC,2015,Action,Bethesda Softworks,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.009950330853168083,0.0,Post-Peak,0.009208065969840052
16367,Tropico 3: Gold Edition,PC,2010,Strategy,Kalypso Media,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.009950330853168083,0.0,Shooter Boom,0.00027465012936581605
16368,Survivor,Wii,2010,Adventure,Valcon Games,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.009950330853168083,0.0,0.0,Shooter Boom,5.044594212841519e-05
16369,Hakuouki: Shinsengumi Kitan,PS3,2007,Adventure,Unknown,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.009950330853168083,0.0,0.0,Shooter Boom,0.005553537717870418
16370,Dance with Devils,PSV,2016,Action,Unknown,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Post-Peak,0.005553537717870418
16371,Wand of Fortune,PS2,2009,Adventure,Idea Factory,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Shooter Boom,0.00045065041634717573
16372,Arabians Lost: The Engagement on Desert,PSP,2012,Adventure,Quinrose,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Post-Peak,2.466246059611409e-05
16373,Gobliiins 4,PC,2009,Adventure,Kalypso Media,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.009950330853168083,0.0,Shooter Boom,0.00027465012936581605
16374,S.Y.K: Shinsetsu Saiyuuki Portable,PSP,2010,Adventure,Idea Factory,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Shooter Boom,0.00045065041634717573
16375,"Crouching Tiger, Hidden Dragon",XB,2003,Action,Ubisoft,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.009950330853168083,0.0,0.0,Transition,0.053217105882669466
16376,Meru Purana,PS,1996,Strategy,Gust,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,RPG Dominance,0.00012331230298057047
16377,Cross Edge Dash,X360,2009,Role-Playing,Compile Heart,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Shooter Boom,0.00015357986825761957
16378,Colin McRae Rally 04,PC,2004,Racing,Codemasters,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.009950330853168083,0.0,Transition,0.005366327221527189
16379,Super Bubble Pop,XB,2002,Puzzle,Jaleco,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.009950330853168083,0.0,0.0,Transition,0.0002174780616202788
16380,Fullmetal Alchemist: Trading Card Game,DS,2007,Misc,Destineer,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.009950330853168083,0.0,0.0,Shooter Boom,0.0004887651281775339
16381,Luxor: Pharaoh's Challenge,DS,2007,Puzzle,Funsta,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.009950330853168083,0.0,Shooter Boom,2.2420418723740084e-05
16382,Grand Prix Legends,PC,1997,Racing,Vivendi Games,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.009950330853168083,0.0,RPG Dominance,0.006525462869544551
16383,Fate/kaleid liner Prisma Illya,3DS,2014,Action,Kadokawa Games,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Post-Peak,6.501921429884624e-05
16384,Hoshigami: Ruining Blue Earth Remix,DS,2007,Role-Playing,505 Games,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Shooter Boom,0.0062676280542215395
16385,Akatsuki no Amaneka to Aoi Kyojin,PSP,2010,Strategy,CyberFront,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Shooter Boom,3.0267565277049114e-05
16386,Pilot Academy,PSP,2006,Simulation,Rising Star Games,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.009950330853168083,0.0,Shooter Boom,0.0019404872405397041
16387,Poker for Dummies,PC,2008,Misc,Electronic Arts,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.009950330853168083,0.0,Shooter Boom,0.12446919658671544
16388,John Daly's ProStroke Golf,X360,2010,Sports,O-Games,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.009950330853168083,0.0,0.0,Shooter Boom,0.00012107026110819646
16389,TrackMania Turbo,PC,2016,Action,Ubisoft,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.009950330853168083,0.0,Post-Peak,0.053217105882669466
16390,Darkened Skye,GC,2002,Adventure,TDK Mediactive,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.009950330853168083,0.0,0.0,Transition,0.0009315683979714005
16391,Sakura-Sou no Pet na Kanojo,PSV,2013,Adventure,Kadokawa Games,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Post-Peak,6.501921429884624e-05
16392,WSC REAL 09: World Snooker Championship,X360,2009,Sports,Deep Silver,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.009950330853168083,0.0,Shooter Boom,0.00287766074319204
16393,World Snooker Championship 2007,X360,2007,Sports,Sega,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.009950330853168083,0.0,Shooter Boom,0.030602750536969026
16394,Handball 16,X360,2015,Sports,Bigben Interactive,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.009950330853168083,0.0,Post-Peak,9.416575863970835e-05
16395,Wand of Fortune: Mirai e no Prologue,PS2,2010,Adventure,Idea Factory,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Shooter Boom,0.00045065041634717573
16396,Alone in the Dark,PC,2008,Adventure,Atari,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.009950330853168083,0.0,Shooter Boom,0.01762469115873208
16397,Nova Usagi no Game de Ryuugaku!? DS,DS,2007,Misc,Konami Digital Entertainment,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Shooter Boom,0.031796637834008185
16398,LMA Manager 2007,X360,2006,Sports,Codemasters,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.009950330853168083,0.0,Shooter Boom,0.005366327221527189
16399,San-X: Chara Sagashi Land,DS,2007,Action,MTO,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Shooter Boom,4.484083744748017e-05
16400,Heart no Kuni no Alice,PSP,2009,Adventure,Prototype,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,Shooter Boom,6.838227710740725e-05
16401,Petz: Hamsterz Life 2,GBA,2007,Misc,Ubisoft,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.009950330853168083,0.0,0.0,Shooter Boom,0.053217105882669466
16402,The Technomancer,PC,2016,Role-Playing,Focus Home Interactive,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.009950330853168083,0.0,0.009950330853168083,0.0,Post-Peak,0.0008418867230764401
